date;cumulative_vaccinations
2020-01-01 00:00:00.000;NULL
2020-01-02 00:00:00.000;NULL
2020-01-03 00:00:00.000;NULL
2020-01-04 00:00:00.000;NULL
2020-01-05 00:00:00.000;NULL
2020-01-06 00:00:00.000;NULL
2020-01-07 00:00:00.000;NULL
2020-01-08 00:00:00.000;NULL
2020-01-09 00:00:00.000;NULL
2020-01-10 00:00:00.000;NULL
2020-01-11 00:00:00.000;NULL
2020-01-12 00:00:00.000;NULL
2020-01-13 00:00:00.000;NULL
2020-01-14 00:00:00.000;NULL
2020-01-15 00:00:00.000;NULL
2020-01-16 00:00:00.000;NULL
2020-01-17 00:00:00.000;NULL
2020-01-18 00:00:00.000;NULL
2020-01-19 00:00:00.000;NULL
2020-01-20 00:00:00.000;NULL
2020-01-21 00:00:00.000;NULL
2020-01-22 00:00:00.000;NULL
2020-01-23 00:00:00.000;NULL
2020-01-24 00:00:00.000;NULL
2020-01-25 00:00:00.000;NULL
2020-01-26 00:00:00.000;NULL
2020-01-27 00:00:00.000;NULL
2020-01-28 00:00:00.000;NULL
2020-01-29 00:00:00.000;NULL
2020-01-30 00:00:00.000;NULL
2020-01-31 00:00:00.000;NULL
2020-02-01 00:00:00.000;NULL
2020-02-02 00:00:00.000;NULL
2020-02-03 00:00:00.000;NULL
2020-02-04 00:00:00.000;NULL
2020-02-05 00:00:00.000;NULL
2020-02-06 00:00:00.000;NULL
2020-02-07 00:00:00.000;NULL
2020-02-08 00:00:00.000;NULL
2020-02-09 00:00:00.000;NULL
2020-02-10 00:00:00.000;NULL
2020-02-11 00:00:00.000;NULL
2020-02-12 00:00:00.000;NULL
2020-02-13 00:00:00.000;NULL
2020-02-14 00:00:00.000;NULL
2020-02-15 00:00:00.000;NULL
2020-02-16 00:00:00.000;NULL
2020-02-17 00:00:00.000;NULL
2020-02-18 00:00:00.000;NULL
2020-02-19 00:00:00.000;NULL
2020-02-20 00:00:00.000;NULL
2020-02-21 00:00:00.000;NULL
2020-02-22 00:00:00.000;NULL
2020-02-23 00:00:00.000;NULL
2020-02-24 00:00:00.000;NULL
2020-02-25 00:00:00.000;NULL
2020-02-26 00:00:00.000;NULL
2020-02-27 00:00:00.000;NULL
2020-02-28 00:00:00.000;NULL
2020-02-29 00:00:00.000;NULL
2020-03-01 00:00:00.000;NULL
2020-03-02 00:00:00.000;NULL
2020-03-03 00:00:00.000;NULL
2020-03-04 00:00:00.000;NULL
2020-03-05 00:00:00.000;NULL
2020-03-06 00:00:00.000;NULL
2020-03-07 00:00:00.000;NULL
2020-03-08 00:00:00.000;NULL
2020-03-09 00:00:00.000;NULL
2020-03-10 00:00:00.000;NULL
2020-03-11 00:00:00.000;NULL
2020-03-12 00:00:00.000;NULL
2020-03-13 00:00:00.000;NULL
2020-03-14 00:00:00.000;NULL
2020-03-15 00:00:00.000;NULL
2020-03-16 00:00:00.000;NULL
2020-03-17 00:00:00.000;NULL
2020-03-18 00:00:00.000;NULL
2020-03-19 00:00:00.000;NULL
2020-03-20 00:00:00.000;NULL
2020-03-21 00:00:00.000;NULL
2020-03-22 00:00:00.000;NULL
2020-03-23 00:00:00.000;NULL
2020-03-24 00:00:00.000;NULL
2020-03-25 00:00:00.000;NULL
2020-03-26 00:00:00.000;NULL
2020-03-27 00:00:00.000;NULL
2020-03-28 00:00:00.000;NULL
2020-03-29 00:00:00.000;NULL
2020-03-30 00:00:00.000;NULL
2020-03-31 00:00:00.000;NULL
2020-04-01 00:00:00.000;NULL
2020-04-02 00:00:00.000;NULL
2020-04-03 00:00:00.000;NULL
2020-04-04 00:00:00.000;NULL
2020-04-05 00:00:00.000;NULL
2020-04-06 00:00:00.000;NULL
2020-04-07 00:00:00.000;NULL
2020-04-08 00:00:00.000;NULL
2020-04-09 00:00:00.000;NULL
2020-04-10 00:00:00.000;NULL
2020-04-11 00:00:00.000;NULL
2020-04-12 00:00:00.000;NULL
2020-04-13 00:00:00.000;NULL
2020-04-14 00:00:00.000;NULL
2020-04-15 00:00:00.000;NULL
2020-04-16 00:00:00.000;NULL
2020-04-17 00:00:00.000;NULL
2020-04-18 00:00:00.000;NULL
2020-04-19 00:00:00.000;NULL
2020-04-20 00:00:00.000;NULL
2020-04-21 00:00:00.000;NULL
2020-04-22 00:00:00.000;NULL
2020-04-23 00:00:00.000;NULL
2020-04-24 00:00:00.000;NULL
2020-04-25 00:00:00.000;NULL
2020-04-26 00:00:00.000;NULL
2020-04-27 00:00:00.000;NULL
2020-04-28 00:00:00.000;NULL
2020-04-29 00:00:00.000;NULL
2020-04-30 00:00:00.000;NULL
2020-05-01 00:00:00.000;NULL
2020-05-02 00:00:00.000;NULL
2020-05-03 00:00:00.000;NULL
2020-05-04 00:00:00.000;NULL
2020-05-05 00:00:00.000;NULL
2020-05-06 00:00:00.000;NULL
2020-05-07 00:00:00.000;NULL
2020-05-08 00:00:00.000;NULL
2020-05-09 00:00:00.000;NULL
2020-05-10 00:00:00.000;NULL
2020-05-11 00:00:00.000;NULL
2020-05-12 00:00:00.000;NULL
2020-05-13 00:00:00.000;NULL
2020-05-14 00:00:00.000;NULL
2020-05-15 00:00:00.000;NULL
2020-05-16 00:00:00.000;NULL
2020-05-17 00:00:00.000;NULL
2020-05-18 00:00:00.000;NULL
2020-05-19 00:00:00.000;NULL
2020-05-20 00:00:00.000;NULL
2020-05-21 00:00:00.000;NULL
2020-05-22 00:00:00.000;NULL
2020-05-23 00:00:00.000;NULL
2020-05-24 00:00:00.000;NULL
2020-05-25 00:00:00.000;NULL
2020-05-26 00:00:00.000;NULL
2020-05-27 00:00:00.000;NULL
2020-05-28 00:00:00.000;NULL
2020-05-29 00:00:00.000;NULL
2020-05-30 00:00:00.000;NULL
2020-05-31 00:00:00.000;NULL
2020-06-01 00:00:00.000;NULL
2020-06-02 00:00:00.000;NULL
2020-06-03 00:00:00.000;NULL
2020-06-04 00:00:00.000;NULL
2020-06-05 00:00:00.000;NULL
2020-06-06 00:00:00.000;NULL
2020-06-07 00:00:00.000;NULL
2020-06-08 00:00:00.000;NULL
2020-06-09 00:00:00.000;NULL
2020-06-10 00:00:00.000;NULL
2020-06-11 00:00:00.000;NULL
2020-06-12 00:00:00.000;NULL
2020-06-13 00:00:00.000;NULL
2020-06-14 00:00:00.000;NULL
2020-06-15 00:00:00.000;NULL
2020-06-16 00:00:00.000;NULL
2020-06-17 00:00:00.000;NULL
2020-06-18 00:00:00.000;NULL
2020-06-19 00:00:00.000;NULL
2020-06-20 00:00:00.000;NULL
2020-06-21 00:00:00.000;NULL
2020-06-22 00:00:00.000;NULL
2020-06-23 00:00:00.000;NULL
2020-06-24 00:00:00.000;NULL
2020-06-25 00:00:00.000;NULL
2020-06-26 00:00:00.000;NULL
2020-06-27 00:00:00.000;NULL
2020-06-28 00:00:00.000;NULL
2020-06-29 00:00:00.000;NULL
2020-06-30 00:00:00.000;NULL
2020-07-01 00:00:00.000;NULL
2020-07-02 00:00:00.000;NULL
2020-07-03 00:00:00.000;NULL
2020-07-04 00:00:00.000;NULL
2020-07-05 00:00:00.000;NULL
2020-07-06 00:00:00.000;NULL
2020-07-07 00:00:00.000;NULL
2020-07-08 00:00:00.000;NULL
2020-07-09 00:00:00.000;NULL
2020-07-10 00:00:00.000;NULL
2020-07-11 00:00:00.000;NULL
2020-07-12 00:00:00.000;NULL
2020-07-13 00:00:00.000;NULL
2020-07-14 00:00:00.000;NULL
2020-07-15 00:00:00.000;NULL
2020-07-16 00:00:00.000;NULL
2020-07-17 00:00:00.000;NULL
2020-07-18 00:00:00.000;NULL
2020-07-19 00:00:00.000;NULL
2020-07-20 00:00:00.000;NULL
2020-07-21 00:00:00.000;NULL
2020-07-22 00:00:00.000;NULL
2020-07-23 00:00:00.000;NULL
2020-07-24 00:00:00.000;NULL
2020-07-25 00:00:00.000;NULL
2020-07-26 00:00:00.000;NULL
2020-07-27 00:00:00.000;NULL
2020-07-28 00:00:00.000;NULL
2020-07-29 00:00:00.000;NULL
2020-07-30 00:00:00.000;NULL
2020-07-31 00:00:00.000;NULL
2020-08-01 00:00:00.000;NULL
2020-08-02 00:00:00.000;NULL
2020-08-03 00:00:00.000;NULL
2020-08-04 00:00:00.000;NULL
2020-08-05 00:00:00.000;NULL
2020-08-06 00:00:00.000;NULL
2020-08-07 00:00:00.000;NULL
2020-08-08 00:00:00.000;NULL
2020-08-09 00:00:00.000;NULL
2020-08-10 00:00:00.000;NULL
2020-08-11 00:00:00.000;NULL
2020-08-12 00:00:00.000;NULL
2020-08-13 00:00:00.000;NULL
2020-08-14 00:00:00.000;NULL
2020-08-15 00:00:00.000;NULL
2020-08-16 00:00:00.000;NULL
2020-08-17 00:00:00.000;NULL
2020-08-18 00:00:00.000;NULL
2020-08-19 00:00:00.000;NULL
2020-08-20 00:00:00.000;NULL
2020-08-21 00:00:00.000;NULL
2020-08-22 00:00:00.000;NULL
2020-08-23 00:00:00.000;NULL
2020-08-24 00:00:00.000;NULL
2020-08-25 00:00:00.000;NULL
2020-08-26 00:00:00.000;NULL
2020-08-27 00:00:00.000;NULL
2020-08-28 00:00:00.000;NULL
2020-08-29 00:00:00.000;NULL
2020-08-30 00:00:00.000;NULL
2020-08-31 00:00:00.000;NULL
2020-09-01 00:00:00.000;NULL
2020-09-02 00:00:00.000;NULL
2020-09-03 00:00:00.000;NULL
2020-09-04 00:00:00.000;NULL
2020-09-05 00:00:00.000;NULL
2020-09-06 00:00:00.000;NULL
2020-09-07 00:00:00.000;NULL
2020-09-08 00:00:00.000;NULL
2020-09-09 00:00:00.000;NULL
2020-09-10 00:00:00.000;NULL
2020-09-11 00:00:00.000;NULL
2020-09-12 00:00:00.000;NULL
2020-09-13 00:00:00.000;NULL
2020-09-14 00:00:00.000;NULL
2020-09-15 00:00:00.000;NULL
2020-09-16 00:00:00.000;NULL
2020-09-17 00:00:00.000;NULL
2020-09-18 00:00:00.000;NULL
2020-09-19 00:00:00.000;NULL
2020-09-20 00:00:00.000;NULL
2020-09-21 00:00:00.000;NULL
2020-09-22 00:00:00.000;NULL
2020-09-23 00:00:00.000;NULL
2020-09-24 00:00:00.000;NULL
2020-09-25 00:00:00.000;NULL
2020-09-26 00:00:00.000;NULL
2020-09-27 00:00:00.000;NULL
2020-09-28 00:00:00.000;NULL
2020-09-29 00:00:00.000;NULL
2020-09-30 00:00:00.000;NULL
2020-10-01 00:00:00.000;NULL
2020-10-02 00:00:00.000;NULL
2020-10-03 00:00:00.000;NULL
2020-10-04 00:00:00.000;NULL
2020-10-05 00:00:00.000;NULL
2020-10-06 00:00:00.000;NULL
2020-10-07 00:00:00.000;NULL
2020-10-08 00:00:00.000;NULL
2020-10-09 00:00:00.000;NULL
2020-10-10 00:00:00.000;NULL
2020-10-11 00:00:00.000;NULL
2020-10-12 00:00:00.000;NULL
2020-10-13 00:00:00.000;NULL
2020-10-14 00:00:00.000;NULL
2020-10-15 00:00:00.000;NULL
2020-10-16 00:00:00.000;NULL
2020-10-17 00:00:00.000;NULL
2020-10-18 00:00:00.000;NULL
2020-10-19 00:00:00.000;NULL
2020-10-20 00:00:00.000;NULL
2020-10-21 00:00:00.000;NULL
2020-10-22 00:00:00.000;NULL
2020-10-23 00:00:00.000;NULL
2020-10-24 00:00:00.000;NULL
2020-10-25 00:00:00.000;NULL
2020-10-26 00:00:00.000;NULL
2020-10-27 00:00:00.000;NULL
2020-10-28 00:00:00.000;NULL
2020-10-29 00:00:00.000;NULL
2020-10-30 00:00:00.000;NULL
2020-10-31 00:00:00.000;NULL
2020-11-01 00:00:00.000;NULL
2020-11-02 00:00:00.000;NULL
2020-11-03 00:00:00.000;NULL
2020-11-04 00:00:00.000;NULL
2020-11-05 00:00:00.000;NULL
2020-11-06 00:00:00.000;NULL
2020-11-07 00:00:00.000;NULL
2020-11-08 00:00:00.000;NULL
2020-11-09 00:00:00.000;NULL
2020-11-10 00:00:00.000;NULL
2020-11-11 00:00:00.000;NULL
2020-11-12 00:00:00.000;NULL
2020-11-13 00:00:00.000;NULL
2020-11-14 00:00:00.000;NULL
2020-11-15 00:00:00.000;NULL
2020-11-16 00:00:00.000;NULL
2020-11-17 00:00:00.000;NULL
2020-11-18 00:00:00.000;NULL
2020-11-19 00:00:00.000;NULL
2020-11-20 00:00:00.000;NULL
2020-11-21 00:00:00.000;NULL
2020-11-22 00:00:00.000;NULL
2020-11-23 00:00:00.000;NULL
2020-11-24 00:00:00.000;NULL
2020-11-25 00:00:00.000;NULL
2020-11-26 00:00:00.000;NULL
2020-11-27 00:00:00.000;NULL
2020-11-28 00:00:00.000;NULL
2020-11-29 00:00:00.000;NULL
2020-11-30 00:00:00.000;NULL
2020-12-01 00:00:00.000;NULL
2020-12-02 00:00:00.000;NULL
2020-12-03 00:00:00.000;NULL
2020-12-04 00:00:00.000;NULL
2020-12-05 00:00:00.000;NULL
2020-12-06 00:00:00.000;NULL
2020-12-07 00:00:00.000;NULL
2020-12-08 00:00:00.000;NULL
2020-12-09 00:00:00.000;NULL
2020-12-10 00:00:00.000;NULL
2020-12-11 00:00:00.000;NULL
2020-12-12 00:00:00.000;NULL
2020-12-13 00:00:00.000;NULL
2020-12-14 00:00:00.000;5
2020-12-15 00:00:00.000;1529223
2020-12-16 00:00:00.000;3023
2020-12-17 00:00:00.000;7202
2020-12-18 00:00:00.000;11174
2020-12-19 00:00:00.000;11955
2020-12-20 00:00:00.000;576382
2020-12-21 00:00:00.000;667301
2020-12-22 00:00:00.000;155542
2020-12-23 00:00:00.000;1221856
2020-12-24 00:00:00.000;311962
2020-12-25 00:00:00.000;352678
2020-12-26 00:00:00.000;2336999
2020-12-27 00:00:00.000;566673
2020-12-28 00:00:00.000;2880917
2020-12-29 00:00:00.000;1022842
2020-12-30 00:00:00.000;4142403
2020-12-31 00:00:00.000;6117545
2021-01-01 00:00:00.000;1630610
2021-01-02 00:00:00.000;6889987
2021-01-03 00:00:00.000;3534307
2021-01-04 00:00:00.000;7220997
2021-01-05 00:00:00.000;8766074
2021-01-06 00:00:00.000;9588626
2021-01-07 00:00:00.000;11025051
2021-01-08 00:00:00.000;12272327
2021-01-09 00:00:00.000;14537889
2021-01-10 00:00:00.000;8618853
2021-01-11 00:00:00.000;18760635
2021-01-12 00:00:00.000;19832042
2021-01-13 00:00:00.000;33175852
2021-01-14 00:00:00.000;24404782
2021-01-15 00:00:00.000;27278710
2021-01-16 00:00:00.000;15039361
2021-01-17 00:00:00.000;16172319
2021-01-18 00:00:00.000;17910239
2021-01-19 00:00:00.000;35276243
2021-01-20 00:00:00.000;53046940
2021-01-21 00:00:00.000;40838366
2021-01-22 00:00:00.000;44579046
2021-01-23 00:00:00.000;46099978
2021-01-24 00:00:00.000;50053304
2021-01-25 00:00:00.000;52657240
2021-01-26 00:00:00.000;55086518
2021-01-27 00:00:00.000;81364209
2021-01-28 00:00:00.000;62517557
2021-01-29 00:00:00.000;65629995
2021-01-30 00:00:00.000;68857072
2021-01-31 00:00:00.000;96940243
2021-02-01 00:00:00.000;76201156
2021-02-02 00:00:00.000;78316004
2021-02-03 00:00:00.000;113500135
2021-02-04 00:00:00.000;87021192
2021-02-05 00:00:00.000;88796426
2021-02-06 00:00:00.000;92488048
2021-02-07 00:00:00.000;99031098
2021-02-08 00:00:00.000;99605308
2021-02-09 00:00:00.000;144562058
2021-02-10 00:00:00.000;108458405
2021-02-11 00:00:00.000;114362747
2021-02-12 00:00:00.000;116206000
2021-02-13 00:00:00.000;122166327
2021-02-14 00:00:00.000;119971759
2021-02-15 00:00:00.000;78503700
2021-02-16 00:00:00.000;137203480
2021-02-17 00:00:00.000;141652449
2021-02-18 00:00:00.000;148646081
2021-02-19 00:00:00.000;146370286
2021-02-20 00:00:00.000;154587070
2021-02-21 00:00:00.000;155046265
2021-02-22 00:00:00.000;161799919
2021-02-23 00:00:00.000;166235008
2021-02-24 00:00:00.000;175360612
2021-02-25 00:00:00.000;178205309
2021-02-26 00:00:00.000;180989396
2021-02-27 00:00:00.000;185232257
2021-02-28 00:00:00.000;247095825
2021-03-01 00:00:00.000;196115105
2021-03-02 00:00:00.000;209055679
2021-03-03 00:00:00.000;216781980
2021-03-04 00:00:00.000;226056253
2021-03-05 00:00:00.000;224921063
2021-03-06 00:00:00.000;219555456
2021-03-07 00:00:00.000;231791940
2021-03-08 00:00:00.000;239203643
2021-03-09 00:00:00.000;248461176
2021-03-10 00:00:00.000;263901203
2021-03-11 00:00:00.000;279222081
2021-03-12 00:00:00.000;271711607
2021-03-13 00:00:00.000;280852221
2021-03-14 00:00:00.000;349655382
2021-03-15 00:00:00.000;301039271
2021-03-16 00:00:00.000;299772732
2021-03-17 00:00:00.000;324226494
2021-03-18 00:00:00.000;332543253
2021-03-19 00:00:00.000;340129637
2021-03-20 00:00:00.000;427223617
2021-03-21 00:00:00.000;348723887
2021-03-22 00:00:00.000;448470189
2021-03-23 00:00:00.000;455727655
2021-03-24 00:00:00.000;463824284
2021-03-25 00:00:00.000;479638248
2021-03-26 00:00:00.000;500920753
2021-03-27 00:00:00.000;500483961
2021-03-28 00:00:00.000;497216718
2021-03-29 00:00:00.000;534931311
2021-03-30 00:00:00.000;552249400
2021-03-31 00:00:00.000;587116162
2021-04-01 00:00:00.000;579040697
2021-04-02 00:00:00.000;611615438
2021-04-03 00:00:00.000;616324398
2021-04-04 00:00:00.000;635237052
2021-04-05 00:00:00.000;653231854
2021-04-06 00:00:00.000;670555017
2021-04-07 00:00:00.000;686451119
2021-04-08 00:00:00.000;719160708
2021-04-09 00:00:00.000;715803614
2021-04-10 00:00:00.000;745819029
2021-04-11 00:00:00.000;740875904
2021-04-12 00:00:00.000;778237667
2021-04-13 00:00:00.000;799959940
2021-04-14 00:00:00.000;812074228
2021-04-15 00:00:00.000;802328177
2021-04-16 00:00:00.000;790574812
2021-04-17 00:00:00.000;809537805
2021-04-18 00:00:00.000;845807466
2021-04-19 00:00:00.000;891522294
2021-04-20 00:00:00.000;773339029
2021-04-21 00:00:00.000;927942668
2021-04-22 00:00:00.000;955281018
2021-04-23 00:00:00.000;827119601
2021-04-24 00:00:00.000;774690508
2021-04-25 00:00:00.000;989936615
2021-04-26 00:00:00.000;1003505994
2021-04-27 00:00:00.000;1044189897
2021-04-28 00:00:00.000;1047482856
2021-04-29 00:00:00.000;1065657448
2021-04-30 00:00:00.000;914410364
